ds,y
2021-09-24,0.0333333333333332
2021-09-25,0.0499999999999998
2021-09-26,0.0666666666666664
2021-09-27,0.0499999999999998
2021-09-28,0.0499999999999998
2021-09-29,0.0333333333333332
2021-09-30,0.0333333333333332
2021-10-01,0.0333333333333332
2021-10-02,0.0333333333333332
2021-10-03,0.0166666666666666
2021-10-04,0.0166666666666666
2021-10-05,0.0166666666666666
2021-10-06,0.0166666666666666
2021-10-07,0.0666666666666664
2021-10-08,0.0666666666666664
2021-10-09,0.0666666666666664
2021-10-10,0.0999999999999997
2021-10-11,0.08333333333333301
2021-10-12,0.0999999999999996
2021-10-13,0.08333333333333301
2021-10-14,0.11666666666666631
2021-10-15,0.08333333333333301
2021-10-16,0.1333333333333328
2021-10-17,0.1333333333333328
2021-10-18,0.08333333333333301
2021-10-19,0.1333333333333328
2021-10-20,0.0999999999999996
2021-10-21,0.0999999999999996
2021-10-22,0.1166666666666662
2021-10-23,0.1166666666666662
2021-10-24,0.0999999999999996
2021-10-25,0.1166666666666662
2021-10-26,0.1166666666666662
2021-10-27,0.1499999999999994
2021-10-28,0.1499999999999994
2021-10-29,0.1166666666666662
2021-10-30,0.16666666666666602
2021-10-31,0.1999999999999992
2021-11-01,0.2166666666666658
2021-11-02,0.1999999999999992
2021-11-03,0.2166666666666659
2021-11-04,0.28333333333333244
2021-11-05,0.2166666666666658
2021-11-06,0.2833333333333323
2021-11-07,0.2333333333333324
2021-11-08,0.2333333333333324
2021-11-09,0.249999999999999
2021-11-10,0.2999999999999988
2021-11-11,0.2666666666666656
2021-11-12,0.2166666666666659
2021-11-13,0.3333333333333321
2021-11-14,0.2999999999999988
2021-11-15,0.3666666666666652
2021-11-16,0.4333333333333317
2021-11-17,0.41666666666666513
2021-11-18,0.416666666666665
2021-11-19,0.4333333333333317
2021-11-20,0.3833333333333319
2021-11-21,0.41666666666666513
2021-11-22,0.3999999999999984
2021-11-23,0.4333333333333316
2021-11-24,0.3999999999999985
2021-11-25,0.4333333333333318
2021-11-26,0.3166666666666655
2021-11-27,0.3999999999999984
2021-11-28,0.3833333333333318
2021-11-29,0.4499999999999983
2021-11-30,0.31666666666666543
2021-12-01,0.4499999999999985
2021-12-02,0.3833333333333319
2021-12-03,0.4333333333333317
2021-12-04,0.3499999999999987
2021-12-05,0.4333333333333317
2021-12-06,0.3833333333333319
2021-12-07,0.4166666666666652
2021-12-08,0.4166666666666652
2021-12-09,0.3666666666666652
2021-12-10,0.4333333333333319
2021-12-11,0.3999999999999985
2021-12-12,0.383333333333332
2021-12-13,0.3833333333333319
2021-12-14,0.3666666666666652
2021-12-15,0.3499999999999988
2021-12-16,0.3666666666666653
2021-12-17,0.2666666666666657
2021-12-18,0.3499999999999986
2021-12-19,0.41666666666666513
2021-12-20,0.3666666666666654
2021-12-21,0.3999999999999984
2021-12-22,0.3499999999999986
2021-12-23,0.31666666666666543
2021-12-24,0.3999999999999984
2021-12-25,0.3666666666666653
2021-12-26,0.3833333333333319
2021-12-27,0.3666666666666652
2021-12-28,0.3666666666666652
2021-12-29,0.3666666666666652
2021-12-30,0.3833333333333318
2021-12-31,0.3833333333333319
2022-01-01,0.4499999999999983
2022-01-02,0.41666666666666513
2022-01-03,0.4499999999999985
2022-01-04,0.3999999999999987
2022-01-05,0.31666666666666543
2022-01-06,0.3499999999999987
2022-01-07,0.3333333333333322
2022-01-08,0.2833333333333322
2022-01-09,0.2833333333333323
2022-01-10,0.3666666666666652
2022-01-11,0.29999999999999893
2022-01-12,0.3666666666666653
2022-01-13,0.3999999999999984
2022-01-14,0.299999999999999
2022-01-15,0.3666666666666653
2022-01-16,0.3499999999999987
2022-01-17,0.249999999999999
2022-01-18,0.1999999999999992
2022-01-19,0.16666666666666602
2022-01-20,0.1499999999999994
2022-01-21,0.0166666666666666
